CODE,STATE,COUNTY,FIPS,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24480,MINNESOTA,MORRISON,27097,2836.00,11614440.00,341.28,11179712.00,328.51,192117.00,160907.00,81699.00,2382.00,10886730.00,380.87,,24480,MINNESOTA,MORRISON,14107484.00,13691676.00,223456.00,192352.00,0.00,11086479.00
24490,MINNESOTA,MOWER,27099,4298.00,24646289.00,477.86,21975019.00,426.07,1671852.00,252322.00,747092.00,3893.00,18327839.00,392.32,,24490,MINNESOTA,MOWER,13502828.00,12343515.00,1020070.00,139243.00,0.00,9112607.00
24500,MINNESOTA,MURRAY,27101,1176.00,4936096.00,349.78,4743147.00,336.11,89896.00,68956.00,34094.00,1069.00,6886168.00,536.81,,24500,MINNESOTA,MURRAY,2753303.00,2666613.00,50493.00,36198.00,0.00,3424025.00
24510,MINNESOTA,NICOLLET,27103,2341.00,9473945.00,337.25,8752596.00,311.57,373347.00,128415.00,219584.00,1924.00,9077008.00,393.15,,24510,MINNESOTA,NICOLLET,9457036.00,8930417.00,409226.00,117393.00,0.00,5716043.00
24520,MINNESOTA,NOBLES,27105,2282.00,8032130.00,293.31,7630467.00,278.65,184705.00,159654.00,57301.00,2065.00,10265529.00,414.27,,24520,MINNESOTA,NOBLES,2855960.00,2737430.00,64140.00,54389.00,0.00,3957312.00
24530,MINNESOTA,NORMAN,27107,763.00,2216974.00,242.13,2109390.00,230.38,49694.00,39544.00,18343.00,674.00,3673539.00,454.20,,24530,MINNESOTA,NORMAN,2097631.00,2012764.00,51754.00,33113.00,0.00,2695023.00
24540,MINNESOTA,OLMSTED,27109,14963.00,71143322.00,396.22,59041876.00,328.82,8001114.00,501142.00,3599188.00,12963.00,52337086.00,336.45,,24540,MINNESOTA,OLMSTED,31487359.00,27923626.00,3342336.00,221397.00,0.00,17606999.00
24550,MINNESOTA,OTTER TAIL,27111,5743.00,19357537.00,280.89,18514589.00,268.65,395417.00,296597.00,150930.00,4993.00,25140746.00,419.60,,24550,MINNESOTA,OTTER TAIL,23489698.00,22662333.00,451588.00,375777.00,0.00,23739403.00
24560,MINNESOTA,PENNINGTON,27113,1144.00,4039582.00,294.26,3858583.00,281.07,92632.00,45870.00,42492.00,861.00,4605420.00,445.74,,24560,MINNESOTA,PENNINGTON,3808029.00,3689124.00,80566.00,38339.00,0.00,5635785.00
24570,MINNESOTA,PINE,27115,2806.00,11774328.00,349.68,11153658.00,331.24,298992.00,202120.00,119554.00,2399.00,11681016.00,405.76,,24570,MINNESOTA,PINE,10477617.00,10080538.00,219926.00,177152.00,0.00,9114898.00
