CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24650,MINNESOTA,RICE,"4,451","17,226,109",322.51,"15,883,926",297.38,"697,379","257,286","387,515","3,626","15,996,937",367.64,,24650,MINNESOTA,RICE,"17,512,628","16,498,874","730,476","283,277",0,"10,381,380"
24660,MINNESOTA,ROCK,"1,218","4,674,928",319.85,"4,434,822",303.42,"107,735","84,220","48,148","1,091","5,361,082",409.49,,24660,MINNESOTA,ROCK,"3,647,882","3,486,475","95,102","66,305",0,"4,092,717"
24670,MINNESOTA,ROSEAU,"1,041","2,968,238",237.61,"2,848,570",228.03,"43,324","29,301","47,041",780,"3,888,659",415.46,,24670,MINNESOTA,ROSEAU,"5,598,477","5,353,970","170,306","74,200",0,"6,811,381"
24680,MINNESOTA,ST. LOUIS,"20,280","82,430,347",338.72,"78,204,019",321.35,"1,591,816","2,017,416","617,094","17,777","88,529,051",415.00,,24680,MINNESOTA,ST. LOUIS,"57,799,421","55,361,011","1,021,629","1,416,781",0,"53,459,812"
24690,MINNESOTA,SCOTT,"5,482","19,303,349",293.44,"18,090,512",275.00,"579,284","356,581","276,968","4,166","20,152,545",403.12,,24690,MINNESOTA,SCOTT,"22,326,250","21,455,088","530,725","340,438",0,"11,857,811"
24700,MINNESOTA,SHERBURNE,"3,915","15,249,820",324.60,"14,342,986",305.30,"434,057","307,388","165,387","3,083","14,573,935",393.93,,24700,MINNESOTA,SHERBURNE,"18,658,224","17,970,823","323,550","363,851",0,"9,668,251"
24710,MINNESOTA,SIBLEY,"1,104","5,033,935",379.98,"4,719,355",356.23,"166,419","63,859","84,299",962,"5,712,448",494.84,,24710,MINNESOTA,SIBLEY,"5,788,829","5,629,083","104,968","54,777",0,"4,300,462"
24720,MINNESOTA,STEARNS,"13,629","55,948,044",342.09,"53,728,824",328.52,"870,135","932,572","416,510","11,243","51,215,657",379.61,,24720,MINNESOTA,STEARNS,"57,982,192","56,182,525","851,172","948,496",0,"36,619,995"
24730,MINNESOTA,STEELE,"2,796","11,428,127",340.61,"10,059,654",299.82,"811,156","143,227","414,086","2,356","10,115,347",357.79,,24730,MINNESOTA,STEELE,"11,657,402","10,770,779","734,950","151,673",0,"5,668,402"
24740,MINNESOTA,STEVENS,"1,060","5,768,808",453.52,"5,654,625",444.55,"50,925","43,475","19,780",924,"6,981,954",629.69,,24740,MINNESOTA,STEVENS,"3,100,573","3,013,117","53,295","34,160",0,"3,006,692"
24750,MINNESOTA,SWIFT,"1,083","4,990,809",384.03,"4,871,128",374.82,"38,227","59,206","22,246",966,"6,001,128",517.70,,24750,MINNESOTA,SWIFT,"2,986,216","2,887,527","57,854","40,835",0,"4,322,381"
24760,MINNESOTA,TODD,"1,667","7,514,731",375.66,"7,270,559",363.46,"111,168","79,930","53,071","1,440","7,383,038",427.26,,24760,MINNESOTA,TODD,"10,620,286","10,387,907","116,360","116,019",0,"10,400,442"
